# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  61|      28|      0|    0.76|  0.84|                16|             21|             19|               1|     28|            26|         0.93|
|  62|      21|      0|    0.88|  0.88|                14|             16|             16|               1|     21|            21|         1.00|
|  63|      23|      0|    0.50|  0.47|                 7|             14|             15|               4|     23|            23|         1.00|
|  64|      61|      0|    0.70|  0.69|                31|             44|             45|              10|     61|            60|         0.98|
|  65|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  66|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
|  67|      12|      0|    1.00|  1.00|                 7|              7|              7|               0|     12|            12|         1.00|
|  68|      43|      0|    0.54|  0.48|                14|             26|             29|              10|     43|            43|         1.00|
|  69|      18|      0|    0.85|  0.85|                11|             13|             13|               1|     18|            18|         1.00|
|  70|      16|      0|    0.67|  0.67|                 6|              9|              9|               2|     16|            15|         0.94|
|  71|      24|      0|    0.83|  0.83|                10|             12|             12|               1|     24|            24|         1.00|
|  72|      31|      0|    0.57|  0.55|                12|             21|             22|               7|     31|            29|         0.94|
|  73|       3|      0|    0.50|  0.50|                 2|              4|              4|               0|      3|             2|         0.67|
|  74|      14|      0|    0.80|  0.80|                 8|             10|             10|               1|     14|            14|         1.00|
|  75|      14|      0|    0.67|  0.44|                 4|              6|              9|               2|     14|            14|         1.00|
|  76|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  77|      19|      0|    0.85|  0.85|                11|             13|             13|               1|     19|            19|         1.00|
|  78|      15|      0|    0.67|  0.62|                 8|             12|             13|               1|     15|            14|         0.93|
|  79|      20|      0|    0.47|  0.50|                 8|             17|             16|               5|     20|            19|         0.95|
|  80|      30|      0|    0.52|  0.52|                11|             21|             21|               4|     30|            29|         0.97|
|  81|      45|      0|    0.74|  0.76|                25|             34|             33|               3|     45|            44|         0.98|
|  82|      14|      0|    1.00|  1.00|                 7|              7|              7|               0|     14|            14|         1.00|
|  83|      31|      0|    0.52|  0.57|                12|             23|             21|               5|     31|            29|         0.94|
|  84|      31|      0|    0.81|  0.81|                17|             21|             21|               0|     31|            30|         0.97|
|  85|      15|      0|    0.88|  0.88|                 7|              8|              8|               0|     15|            14|         0.93|
|  86|      37|      0|    0.70|  0.70|                19|             27|             27|               6|     37|            37|         1.00|
|  87|      30|      0|    0.68|  0.71|                15|             22|             21|               3|     30|            29|         0.97|
|  88|      24|      0|    0.88|  0.88|                14|             16|             16|               0|     24|            23|         0.96|
|  89|      10|      0|    0.80|  1.00|                 4|              5|              4|               0|     10|            10|         1.00|
|  90|       3|      0|    0.75|  0.75|                 3|              4|              4|               0|      3|             3|         1.00|
|  91|      13|      0|    0.70|  0.88|                 7|             10|              8|               0|     13|            12|         0.92|
|  92|      45|      0|    0.77|  0.69|                24|             31|             35|               6|     45|            42|         0.93|
|  93|      23|      0|    0.56|  0.56|                 9|             16|             16|               4|     23|            22|         0.96|
|  94|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  95|      24|      0|    0.86|  0.86|                18|             21|             21|               1|     24|            24|         1.00|
|  96|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
|  97|      11|      0|    0.62|  0.62|                 5|              8|              8|               2|     11|            10|         0.91|
|  98|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             5|         1.00|
|  99|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 100|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 101|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 102|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 103|       7|      0|    0.80|  0.80|                 4|              5|              5|               0|      7|             7|         1.00|
| 104|       7|      0|    0.75|  0.86|                 6|              8|              7|               0|      7|             7|         1.00|
| 105|       4|      0|    0.83|  1.00|                 5|              6|              5|               0|      4|             4|         1.00|
| 106|       6|      0|    0.56|  0.62|                 5|              9|              8|               1|      6|             4|         0.67|
| 107|      42|      0|    0.47|  0.48|                16|             34|             33|               6|     42|            35|         0.83|
| 108|      15|      0|    0.82|  0.69|                 9|             11|             13|               1|     15|            14|         0.93|
| 109|       5|      0|    0.67|  0.80|                 4|              6|              5|               0|      5|             4|         0.80|
| 110|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 111|      44|      0|    0.42|  0.42|                14|             33|             33|              16|     44|            44|         1.00|
| 112|      20|      0|    1.00|  0.94|                15|             15|             16|               0|     20|            20|         1.00|
| 113|      33|      0|    0.38|  0.36|                 8|             21|             22|               9|     33|            31|         0.94|
| 114|      11|      0|    0.33|  0.43|                 3|              9|              7|               3|     11|            10|         0.91|
| 115|      23|      0|    0.47|  0.44|                 7|             15|             16|               7|     23|            21|         0.91|
| 116|      18|      0|    1.00|  1.00|                18|             18|             18|               0|     18|            18|         1.00|
| 117|      34|      0|    0.38|  0.43|                 9|             24|             21|              10|     34|            32|         0.94|
| 118|      43|      0|    0.35|  0.35|                12|             34|             34|              18|     43|            41|         0.95|
| 119|      25|      0|    0.29|  0.26|                 5|             17|             19|              10|     25|            22|         0.88|
| 120|      41|      0|    0.63|  0.63|                19|             30|             30|               7|     41|            40|         0.98|
| 121|      11|      0|    1.00|  1.00|                 5|              5|              5|               0|     11|            11|         1.00|
| 122|      33|      0|    0.52|  0.52|                14|             27|             27|              11|     33|            30|         0.91|
| 123|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 124|      35|      0|    0.52|  0.46|                12|             23|             26|               6|     35|            31|         0.89|
| 125|       6|      0|    1.00|  0.83|                 5|              5|              6|               0|      6|             6|         1.00|
| 126|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 127|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 128|      37|      0|    0.67|  0.60|                18|             27|             30|               9|     37|            36|         0.97|
| 129|      19|      0|    0.93|  0.88|                14|             15|             16|               0|     19|            16|         0.84|
| 130|      57|      0|    0.50|  0.52|                23|             46|             44|              12|     57|            50|         0.88|
| 131|      22|      0|    0.60|  0.50|                 6|             10|             12|               2|     22|            21|         0.95|
| 132|       2|      0|    0.33|  1.00|                 1|              3|              1|               0|      2|             1|         0.50|
| 133|       3|      0|    0.75|  0.75|                 3|              4|              4|               0|      3|             3|         1.00|
| 134|      19|      0|    0.33|  0.27|                 3|              9|             11|               5|     19|            17|         0.89|
| 135|      15|      0|    0.25|  0.20|                 2|              8|             10|               6|     15|            13|         0.87|
| 136|      17|      0|    0.62|  0.62|                 5|              8|              8|               0|     17|            13|         0.76|
| 137|      16|      0|    0.46|  0.46|                 6|             13|             13|               4|     16|            14|         0.88|
| 138|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 139|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 140|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 141|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 142|      11|      0|    0.57|  0.67|                 4|              7|              6|               0|     11|            10|         0.91|
| 143|       7|      0|    0.75|  0.75|                 3|              4|              4|               0|      7|             7|         1.00|
| 144|       5|      0|    1.00|  0.75|                 3|              3|              4|               0|      5|             4|         0.80|
| 145|       4|      0|    0.20|  0.33|                 1|              5|              3|               0|      4|             3|         0.75|
| 146|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 147|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 148|       5|      0|    0.62|  0.71|                 5|              8|              7|               1|      5|             5|         1.00|
| 149|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 150|      50|      0|    0.64|  0.64|                21|             33|             33|              10|     50|            49|         0.98|
| 151|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 152|      34|      0|    0.24|  0.22|                 7|             29|             32|              21|     34|            34|         1.00|
| 153|      31|      0|    0.58|  0.56|                14|             24|             25|               8|     31|            30|         0.97|
| 154|      28|      0|    1.00|  0.96|                23|             23|             24|               0|     28|            25|         0.89|
| 155|      12|      0|    0.62|  0.83|                 5|              8|              6|               0|     12|            11|         0.92|
| 156|      41|      0|    0.43|  0.36|                10|             23|             28|              12|     41|            38|         0.93|
| 157|      18|      0|    0.56|  0.45|                 5|              9|             11|               2|     18|            18|         1.00|
| 158|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 159|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
| 160|      72|      0|    0.68|  0.67|                32|             47|             48|               9|     72|            69|         0.96|
| 161|      22|      0|    0.69|  0.64|                 9|             13|             14|               1|     22|            20|         0.91|
| 162|      24|      0|    0.78|  0.70|                14|             18|             20|               1|     24|            22|         0.92|
| 163|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 164|      51|      0|    0.73|  0.69|                22|             30|             32|               5|     51|            46|         0.90|
| 165|      43|      0|    0.46|  0.41|                13|             28|             32|              13|     43|            39|         0.91|
| 166|      30|      0|    0.56|  0.43|                10|             18|             23|               7|     30|            27|         0.90|
| 167|      17|      0|    0.64|  0.64|                 7|             11|             11|               1|     17|            15|         0.88|
| 168|      37|      0|    0.70|  0.64|                16|             23|             25|               4|     37|            36|         0.97|
| 169|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 170|      35|      0|    0.70|  0.70|                16|             23|             23|               4|     35|            35|         1.00|
| 171|      14|      0|    0.43|  0.38|                 3|              7|              8|               3|     14|            13|         0.93|
| 172|      34|      0|    0.72|  0.67|                18|             25|             27|               5|     34|            32|         0.94|
| 173|      62|      0|    0.58|  0.56|                25|             43|             45|              11|     62|            54|         0.87|
| 174|      25|      0|    1.00|  0.75|                15|             15|             20|               0|     25|            24|         0.96|
| 175|      48|      0|    0.50|  0.49|                17|             34|             35|              10|     48|            47|         0.98|
| 176|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 177|      10|      0|    0.62|  0.83|                 5|              8|              6|               0|     10|             9|         0.90|
| 178|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 179|       8|      0|    0.83|  0.71|                 5|              6|              7|               0|      8|             7|         0.88|
| 180|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 181|      20|      0|    0.67|  0.62|                 8|             12|             13|               2|     20|            17|         0.85|
| 182|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 183|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
| 184|      19|      0|    1.00|  1.00|                15|             15|             15|               0|     19|            19|         1.00|
| 185|       6|      0|    0.80|  0.80|                 4|              5|              5|               0|      6|             6|         1.00|
| 186|       3|      0|    0.80|  1.00|                 4|              5|              4|               0|      3|             3|         1.00|
| 187|      43|      0|    0.50|  0.50|                17|             34|             34|              10|     43|            42|         0.98|
| 188|       4|      0|    0.80|  1.00|                 4|              5|              4|               0|      4|             4|         1.00|
| 189|      34|      0|    0.35|  0.35|                 8|             23|             23|              14|     34|            32|         0.94|
| 190|      17|      0|    0.67|  0.50|                 6|              9|             12|               3|     17|            16|         0.94|
| 191|      23|      0|    0.79|  0.79|                15|             19|             19|               1|     23|            22|         0.96|
| 192|      17|      0|    1.00|  1.00|                11|             11|             11|               0|     17|            17|         1.00|
| 193|      17|      0|    0.60|  0.60|                 9|             15|             15|               4|     17|            16|         0.94|
| 194|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 195|      41|      0|    0.62|  0.56|                18|             29|             32|              10|     41|            36|         0.88|
| 196|       3|      0|    0.80|  1.00|                 4|              5|              4|               0|      3|             3|         1.00|
| 197|       8|      0|    0.83|  0.71|                 5|              6|              7|               0|      8|             7|         0.88|
| 198|      28|      0|    0.29|  0.30|                 6|             21|             20|              10|     28|            26|         0.93|
| 199|      17|      0|    0.83|  0.91|                10|             12|             11|               0|     17|            15|         0.88|
| 200|      14|      0|    0.80|  0.89|                 8|             10|              9|               0|     14|            13|         0.93|
| 201|       9|      0|    0.80|  0.67|                 4|              5|              6|               1|      9|             8|         0.89|
| 202|       9|      0|    0.83|  1.00|                 5|              6|              5|               0|      9|             9|         1.00|
| 203|       9|      0|    0.67|  0.67|                 4|              6|              6|               0|      9|             9|         1.00|
| 204|       8|      0|    0.67|  0.67|                 4|              6|              6|               0|      8|             7|         0.88|
| 205|      53|      0|    0.84|  0.86|                32|             38|             37|               2|     53|            52|         0.98|
| 206|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 207|       9|      0|    1.00|  1.00|                 6|              6|              6|               0|      9|             8|         0.89|
| 208|       8|      0|    0.83|  0.83|                 5|              6|              6|               0|      8|             8|         1.00|
| 209|       5|      0|    1.00|  1.00|                 3|              3|              3|               0|      5|             5|         1.00|
| 210|       5|      0|    1.00|  0.75|                 3|              3|              4|               0|      5|             4|         0.80|
| 211|       5|      0|    0.50|  0.67|                 2|              4|              3|               0|      5|             5|         1.00|
| 212|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
| 213|       6|      0|    0.57|  0.67|                 4|              7|              6|               1|      6|             6|         1.00|
| 214|      47|      0|    0.50|  0.46|                17|             34|             37|               9|     47|            45|         0.96|
| 215|      20|      0|    0.45|  0.42|                 5|             11|             12|               5|     20|            18|         0.90|
| 216|      20|      0|    0.31|  0.33|                 5|             16|             15|               4|     20|            16|         0.80|
| 217|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 218|      31|      0|    0.73|  0.64|                16|             22|             25|               6|     31|            28|         0.90|
| 219|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 220|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 221|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 222|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 223|      25|      0|    0.56|  0.62|                10|             18|             16|               4|     25|            24|         0.96|
| 224|      27|      0|    0.76|  0.72|                13|             17|             18|               3|     27|            26|         0.96|
| 225|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             2|         0.67|
| 226|      48|      0|    0.52|  0.42|                13|             25|             31|               6|     48|            37|         0.77|
| 227|      55|      0|    0.45|  0.42|                18|             40|             43|              16|     55|            52|         0.95|
| 228|      22|      0|    0.38|  0.33|                 5|             13|             15|               6|     22|            19|         0.86|
| 229|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 230|       2|      0|    1.00|  1.00|                 2|              2|              2|               0|      2|             2|         1.00|
| 231|       8|      0|    0.33|  0.25|                 1|              3|              4|               0|      8|             7|         0.88|
| 232|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
| 233|      25|      0|    0.33|  0.14|                 2|              6|             14|               3|     25|            14|         0.56|
| 234|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             4|         0.80|
| 235|       8|      0|    0.25|  0.25|                 1|              4|              4|               1|      8|             6|         0.75|
| 236|       5|      0|    0.50|  0.33|                 1|              2|              3|               0|      5|             4|         0.80|
| 237|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 238|      10|      0|    0.67|  0.50|                 2|              3|              4|               0|     10|             5|         0.50|
| 239|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 240|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 241|       8|      0|    0.67|  0.67|                 2|              3|              3|               0|      8|             6|         0.75|
| 242|       4|      0|    1.00|  1.00|                 2|              2|              2|               0|      4|             4|         1.00|
| 243|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 244|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 245|       2|      0|    0.50|  1.00|                 1|              2|              1|               0|      2|             2|         1.00|
| 246|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 247|      13|      0|    0.33|  0.11|                 1|              3|              9|               2|     13|             8|         0.62|
| 248|       8|      0|    1.00|  1.00|                 5|              5|              5|               0|      8|             7|         0.88|
| 249|      19|      0|    0.40|  0.20|                 2|              5|             10|               1|     19|            10|         0.53|
| 250|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             4|         0.80|
| 251|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 252|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             4|         0.80|
| 253|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 254|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 255|      29|      0|    0.35|  0.40|                 6|             17|             15|               6|     29|            27|         0.93|
| 256|      16|      0|    0.33|  0.27|                 3|              9|             11|               4|     16|            13|         0.81|
| 257|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 258|      23|      0|    0.71|  0.71|                12|             17|             17|               4|     23|            23|         1.00|
| 259|      22|      0|    0.50|  0.33|                 4|              8|             12|               2|     22|            18|         0.82|
| 260|      22|      0|    0.20|  0.17|                 2|             10|             12|               6|     22|            15|         0.68|
| 261|       9|      0|    0.17|  0.17|                 1|              6|              6|               2|      9|             8|         0.89|
| 262|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 263|       3|      0|    0.80|  1.00|                 4|              5|              4|               0|      3|             3|         1.00|
| 264|      32|      0|    0.57|  0.59|                16|             28|             27|               7|     32|            32|         1.00|
| 265|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 266|       5|      0|    0.67|  0.67|                 2|              3|              3|               0|      5|             5|         1.00|
| 267|      26|      0|    0.60|  0.63|                12|             20|             19|               3|     26|            24|         0.92|
| 268|      38|      0|    0.58|  0.54|                15|             26|             28|              11|     38|            36|         0.95|
| 269|      30|      0|    0.50|  0.50|                10|             20|             20|               7|     30|            29|         0.97|
| 270|      35|      0|    0.21|  0.18|                 4|             19|             22|              11|     35|            33|         0.94|
| 271|      28|      0|    0.70|  0.70|                16|             23|             23|               3|     28|            26|         0.93|
| 272|      43|      0|    0.69|  0.69|                20|             29|             29|               5|     43|            40|         0.93|
| 273|      41|      0|    0.57|  0.46|                12|             21|             26|               8|     41|            40|         0.98|
| 274|      21|      0|    0.94|  0.88|                15|             16|             17|               1|     21|            21|         1.00|
| 275|       3|      0|    0.75|  0.75|                 3|              4|              4|               0|      3|             2|         0.67|
| 276|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 277|       9|      0|    1.00|  1.00|                 6|              6|              6|               0|      9|             9|         1.00|
| 278|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 279|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 280|      17|      0|    1.00|  1.00|                15|             15|             15|               0|     17|            17|         1.00|
| 281|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 282|      10|      0|    0.60|  0.43|                 3|              5|              7|               2|     10|            10|         1.00|
| 283|      18|      0|    0.75|  0.75|                 9|             12|             12|               0|     18|            15|         0.83|
| 284|      20|      0|    0.93|  0.93|                14|             15|             15|               0|     20|            20|         1.00|
| 285|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             0|         0.00|
| 286|      30|      0|    0.73|  0.64|                16|             22|             25|               6|     30|            29|         0.97|
| 287|      33|      0|    0.32|  0.29|                 6|             19|             21|              10|     33|            28|         0.85|
| 288|      23|      0|    0.38|  0.33|                 5|             13|             15|               7|     23|            19|         0.83|
| 289|      27|      0|    0.40|  0.40|                 8|             20|             20|               8|     27|            25|         0.93|
| 290|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 291|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
| 292|      27|      0|    0.67|  0.57|                 8|             12|             14|               1|     27|            26|         0.96|
| 293|      19|      0|    0.30|  0.30|                 3|             10|             10|               5|     19|            19|         1.00|
| 294|      17|      0|    0.56|  0.45|                 5|              9|             11|               2|     17|            16|         0.94|
| 295|      20|      0|    0.56|  0.38|                 5|              9|             13|               1|     20|            19|         0.95|
| 296|      35|      0|    0.60|  0.46|                12|             20|             26|               9|     35|            29|         0.83|
| 297|      27|      0|    0.43|  0.33|                 6|             14|             18|               8|     27|            23|         0.85|
| 298|      13|      0|    0.88|  0.88|                 7|              8|              8|               0|     13|            13|         1.00|
| 299|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 300|       3|      0|    0.50|  0.50|                 2|              4|              4|               1|      3|             2|         0.67|
| 301|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 302|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
| 303|       4|      0|    0.75|  1.00|                 3|              4|              3|               0|      4|             4|         1.00|
| 304|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             5|         1.00|
| 305|      10|      0|    0.83|  0.83|                 5|              6|              6|               0|     10|            10|         1.00|
| 306|       6|      0|    1.00|  1.00|                 5|              5|              5|               0|      6|             6|         1.00|
| 307|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             3|         1.00|
| 308|       3|      0|    0.50|  1.00|                 1|              2|              1|               0|      3|             3|         1.00|
